읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
,명일제2동제1투,2155,1756,484,1111,140,14,0,1749,7,399
,명일제2동제2투,2037,1482,437,898,119,16,2,1472,10,555
,명일제2동제3투,2855,2186,714,1237,190,29,3,2173,13,669
,명일제2동제4투,2355,1848,459,1205,155,20,1,1840,8,507
고덕제1동,소계,16280,13514,5880,6164,1275,126,9,13454,60,2766
,관내사전투표,4836,4836,3011,1311,441,50,2,4815,21,0
,고덕제1동제1투,1452,1117,390,606,102,13,1,1112,5,335
,고덕제1동제2투,2308,1799,556,1039,186,15,0,1796,3,509
,고덕제1동제3투,2227,1450,414,896,113,12,1,1436,14,777
,고덕제1동제4투,2761,2224,728,1216,250,17,2,2213,11,537
,고덕제1동제5투,2696,2088,781,1096,183,19,3,2082,6,608
고덕제2동,소계,17414,14212,5690,6977,1317,138,9,14131,81,3202
,관내사전투표,3956,3956,2412,1124,357,40,1,3934,22,0
,고덕제2동제1투,1777,1115,354,657,90,9,0,1110,5,662
,고덕제2동제2투,2919,2006,659,1113,185,20,4,1981,25,913
,고덕제2동제3투,3233,2656,842,1526,257,22,1,2648,8,577
,고덕제2동제4투,2885,2304,776,1257,234,23,0,2290,14,581
,고덕제2동제5투,2644,2175,647,1300,194,24,3,2168,7,469
암사제1동,소계,24792,18391,8457,8164,1427,177,26,18251,140,6401
,관내사전투표,5907,5907,3955,1517,338,52,8,5870,37,0
,암사제1동제1투,2671,1632,652,800,142,17,5,1616,16,1039
,암사제1동제2투,2477,1554,560,818,141,15,1,1535,19,923
,암사제1동제3투,2392,1552,546,830,152,12,0,1540,12,840
,암사제1동제4투,2310,1546,579,810,129,14,1,1533,13,764
,암사제1동제5투,2038,1249,492,620,114,11,4,1241,8,789
,암사제1동제6투,2192,1397,480,768,124,18,1,1391,6,795
,암사제1동제7투,2224,1493,542,802,117,14,4,1479,14,731
,암사제1동제8투,2581,2061,651,1199,170,24,2,2046,15,520
암사제2동,소계,13436,11403,5434,4627,1112,133,8,11314,89,2033
,관내사전투표,6061,6061,3813,1533,589,74,2,6011,50,0
,암사제2동제1투,1703,1205,308,774,105,7,2,1196,9,498
,암사제2동제2투,3178,2214,786,1154,230,28,2,2200,14,964
,암사제2동제3투,2494,1923,527,1166,188,24,2,1907,16,571
암사제3동,소계,13001,10805,4609,5101,901,130,9,10750,55,2196
,관내사전투표,3947,3947,2468,1120,297,43,2,3930,17,0
,암사제3동제1투,2633,1976,546,1207,187,24,1,1965,11,657
,암사제3동제2투,2440,1951,567,1189,170,17,0,1943,8,489
,암사제3동제3투,2062,1513,526,834,121,26,2,1509,4,549
,암사제3동제4투,1919,1418,502,751,126,20,4,1403,15,501
천호제1동,소계,20775,15649,7309,6900,1172,142,14,15537,112,5126
,관내사전투표,5682,5682,3710,1525,372,37,6,5650,32,0
,천호제1동제1투,2674,1589,561,869,128,12,1,1571,18,1085
,천호제1동제2투,2639,1812,634,1006,137,22,1,1800,12,827
,천호제1동제3투,2537,1596,609,804,144,28,1,1586,10,941
,천호제1동제4투,2833,1952,683,1066,169,17,2,1937,15,881
,천호제1동제5투,2336,1641,569,916,126,16,1,1628,13,695
,천호제1동제6투,2074,1377,543,714,96,10,2,1365,12,697
천호제2동,소계,27574,20799,9466,9065,1877,199,22,20629,170,6775
,관내사전투표,6760,6760,4409,1761,497,51,4,6722,38,0
,천호제2동제1투,2129,1419,535,720,132,19,1,1407,12,710
,천호제2동제2투,2501,1829,678,941,173,18,2,1812,17,672
,천호제2동제3투,1865,1254,454,621,151,9,2,1237,17,611
,천호제2동제4투,2718,1813,589,974,205,19,2,1789,24,905
,천호제2동제5투,2883,1887,757,943,150,22,1,1873,14,996
,천호제2동제6투,2805,1849,654,996,156,24,3,1833,16,956
,천호제2동제7투,2744,1880,685,1007,159,17,1,1869,11,864
,천호제2동제8투,3169,2108,705,1102,254,20,6,2087,21,1061
천호제3동,소계,20645,15269,6675,6698,1592,166,14,15145,124,5376
,관내사전투표,4840,4840,3023,1244,489,41,5,4802,38,0
,천호제3동제1투,2797,1740,543,955,203,23,2,1726,14,1057
,천호제3동제2투,2718,1930,563,1112,220,28,1,1924,6,788
,천호제3동제3투,2827,1984,736,977,230,22,1,1966,18,843
,천호제3동제4투,2546,1539,529,825,152,13,1,1520,19,1007
,천호제3동제5투,2598,1613,664,768,141,18,2,1593,20,985
,천호제3동제6투,2319,1623,617,817,157,21,2,1614,9,696
성내제1동,소계,15237,12305,5628,5267,1187,130,11,12223,82,2932
,관내사전투표,4995,4995,3154,1279,471,55,5,4964,31,0
,성내제1동제1투,2436,1682,556,917,182,19,1,1675,7,754
,성내제1동제2투,2669,1896,639,1039,181,22,0,1881,15,773
,성내제1동제3투,2417,1680,632,859,147,22,3,1663,17,737
,성내제1동제4투,2720,2052,647,1173,206,12,2,2040,12,668
성내제2동,소계,19310,14776,6705,6348,1431,159,11,14654,122,4534
,관내사전투표,5380,5379,3478,1421,394,50,2,5345,34,1
,성내제2동제1투,2516,1611,524,889,166,13,2,1594,17,905
,성내제2동제2투,2762,1851,605,1033,170,27,2,1837,14,911
,성내제2동제3투,2806,1893,701,960,201,17,1,1880,13,913
,성내제2동제4투,2258,1469,506,799,129,23,2,1459,10,789
,성내제2동제5투,3588,2573,891,1246,371,29,2,2539,34,1015
성내제3동,소계,18001,14077,6445,6097,1273,146,21,13982,95,3924
,관내사전투표,5647,5647,3620,1467,476,52,5,5620,27,0
,성내제3동제1투,2437,1570,515,900,131,14,2,1562,8,867
,성내제3동제2투,2773,1868,551,1100,176,27,3,1857,11,905
,성내제3동제3투,3557,2510,875,1334,242,26,5,2482,28,1047
,성내제3동제4투,3587,2482,884,1296,248,27,6,2461,21,1105
길동,소계,37472,28440,12461,13124,2365,269,27,28246,194,9032
,관내사전투표,8876,8876,5637,2475,635,76,8,8831,45,0
,길동제1투,2896,1697,577,962,126,20,0,1685,12,1199
,길동제2투,3726,2583,874,1453,213,22,5,2567,16,1143
,길동제3투,3944,2779,910,1610,216,19,4,2759,20,1165
,길동제4투,3590,2150,719,1110,270,28,5,2132,18,1440
,길동제5투,3057,2230,831,1104,248,23,2,2208,22,827
,길동제6투,4110,2918,1027,1581,255,26,2,2891,27,1192
,길동제7투,3653,2537,957,1342,196,26,1,2522,15,1116
,길동제8투,3620,2670,929,1487,206,29,0,2651,19,950
둔촌제1동,소계,22063,18897,6332,10062,2213,187,8,18802,95,3166
,관내사전투표,5659,5659,3038,1847,673,65,3,5626,33,0
,둔촌제1동제1투,2991,2415,639,1420,316,27,2,2404,11,576
,둔촌제1동제2투,3228,2608,587,1734,259,15,0,2595,13,620
,둔촌제1동제3투,2433,1947,507,1141,266,21,2,1937,10,486
,둔촌제1동제4투,2947,2359,554,1485,284,25,0,2348,11,588
,둔촌제1동제5투,2609,2106,486,1374,222,18,0,2100,6,503
,둔촌제1동제6투,2196,1803,521,1061,193,16,1,1792,11,393
둔촌제2동,소계,19263,15340,6602,7117,1347,149,14,15229,111,3923
,관내사전투표,4803,4803,3102,1258,367,37,2,4766,37,0
,둔촌제2동제1투,2888,1862,642,1016,173,14,1,1846,16,1026
,둔촌제2동제2투,2773,1956,649,1099,172,14,4,1938,18,817
,둔촌제2동제3투,3110,2367,866,1200,255,28,4,2353,14,743
,둔촌제2동제4투,2897,2142,672,1230,204,27,1,2134,8,755
,둔촌제2동제5투,2792,2210,671,1314,176,29,2,2192,18,582
잘못 투입·구분된 투표지,,0,1,0,1,0,0,0,1,0,-1
