읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
,삼각산동제4투,1941,1565,751,651,138,17,1,1558,7,376
,삼각산동제5투,2646,2148,1056,871,172,26,1,2126,22,498
,삼각산동제6투,2040,1454,560,717,154,15,1,1447,7,586
,삼각산동제7투,1729,1278,516,632,109,15,1,1273,5,451
,삼각산동제8투,2117,1628,767,693,135,20,2,1617,11,489
번1동,소계,13523,9542,4828,3762,763,91,8,9452,90,3981
,관내사전투표,3911,3911,2688,873,286,31,2,3880,31,0
,번1동제1투,2427,1316,482,663,140,16,3,1304,12,1111
,번1동제2투,1906,1158,443,580,107,15,1,1146,12,748
,번1동제3투,2471,1390,487,757,114,11,1,1370,20,1081
,번1동제4투,2122,1334,544,677,84,13,1,1319,15,788
,번1동제5투,686,433,184,212,32,5,0,433,0,253
번2동,소계,12143,9144,4767,3625,584,101,9,9086,58,2999
,관내사전투표,3473,3473,2409,816,186,37,4,3452,21,0
,번2동제1투,1978,1433,524,781,97,19,1,1422,11,545
,번2동제2투,1221,715,277,395,34,6,0,712,3,506
,번2동제3투,2112,1317,521,682,92,14,1,1310,7,795
,번2동제4투,1681,1087,498,474,89,13,1,1075,12,594
,번2동제5투,1678,1119,538,477,86,12,2,1115,4,559
번3동,소계,12590,9513,4782,3957,610,87,11,9447,66,3077
,관내사전투표,3634,3634,2383,994,198,27,3,3605,29,0
,번3동제1투,1264,697,259,390,38,7,0,694,3,567
,번3동제2투,1862,1273,506,641,98,15,2,1262,11,589
,번3동제3투,1326,770,278,415,64,5,3,765,5,556
,번3동제4투,2250,1574,667,781,96,19,2,1565,9,676
,번3동제5투,2254,1565,689,736,116,14,1,1556,9,689
수유1동,소계,16495,11963,6424,4478,824,129,11,11866,97,4532
,관내사전투표,5078,5078,3612,1125,255,42,2,5036,42,0
,수유1동제1투,2004,1180,497,568,84,17,3,1169,11,824
,수유1동제2투,1951,1242,488,637,98,10,0,1233,9,709
,수유1동제3투,2129,1284,559,594,97,24,2,1276,8,845
,수유1동제4투,2129,1236,493,624,95,11,1,1224,12,893
,수유1동제5투,3204,1943,775,930,195,25,3,1928,15,1261
수유2동,소계,16386,12265,5999,5220,825,129,12,12185,80,4121
,관내사전투표,5355,5355,3560,1415,308,43,2,5328,27,0
,수유2동제1투,2204,1435,463,845,95,18,3,1424,11,769
,수유2동제2투,2791,1713,678,858,142,21,2,1701,12,1078
,수유2동제3투,2062,1444,430,910,85,11,1,1437,7,618
,수유2동제4투,1720,1021,395,515,89,13,2,1014,7,699
,수유2동제5투,2254,1297,473,677,106,23,2,1281,16,957
수유3동,소계,20699,14983,7751,5632,1281,170,19,14853,130,5716
,관내사전투표,6457,6457,4399,1403,528,75,8,6413,44,0
,수유3동제1투,1959,1104,391,562,113,21,0,1087,17,855
,수유3동제2투,2590,1602,681,758,128,17,2,1586,16,988
,수유3동제3투,2503,1355,468,731,129,13,2,1343,12,1148
,수유3동제4투,2240,1518,628,735,122,11,4,1500,18,722
,수유3동제5투,2479,1425,568,694,126,16,3,1407,18,1054
,수유3동제6투,2471,1522,616,749,135,17,0,1517,5,949
우이동,소계,16110,11937,6149,4780,745,159,7,11840,97,4173
,관내사전투표,4905,4904,3442,1116,258,58,1,4875,29,1
,우이동제1투,1643,1007,333,566,73,23,1,996,11,636
,우이동제2투,2116,1252,485,645,93,15,1,1239,13,864
,우이동제3투,2236,1329,482,700,107,27,3,1319,10,907
,우이동제4투,2797,1828,781,892,114,18,1,1806,22,969
,우이동제5투,2413,1617,626,861,100,18,0,1605,12,796
인수동,소계,22313,15909,7963,6647,995,178,15,15798,111,6404
,관내사전투표,6157,6157,4169,1554,336,61,3,6123,34,0
,인수동제1투,1552,890,301,486,77,15,0,879,11,662
,인수동제2투,1563,962,287,589,66,9,1,952,10,601
,인수동제3투,2004,1246,483,635,97,20,0,1235,11,758
,인수동제4투,1730,1089,404,606,56,20,0,1086,3,641
,인수동제5투,2035,1146,448,592,81,8,1,1130,16,889
,인수동제6투,2186,1300,497,690,93,12,1,1293,7,886
,인수동제7투,2636,1633,752,751,107,14,1,1625,8,1003
,인수동제8투,2450,1486,622,744,82,19,8,1475,11,964
잘못 투입·구분된 투표지,,0,75,54,19,1,1,0,75,0,-75
